"Story","Title","Result","Date","Stability","Duration (s)"
"Guest Authentication","Test Guest Session Authentication","SUCCESS","2020-03-10T10:17:55.856-05:00[America/Bogota]","0.0","0.9"
"Guest Authentication","Test Guest Session Authentication with invalid API KEY","SUCCESS","2020-03-10T10:17:56.76-05:00[America/Bogota]","0.0","0.97"
