"Story","Title","Result","Date","Stability","Duration (s)"
"Rate TV Episose","Rate a episode","SUCCESS","2020-02-27T21:23:49.546-05:00[America/Bogota]","0.0","1.91"
"Rate TV Episose","Delete a rating","SUCCESS","2020-02-27T21:23:51.463-05:00[America/Bogota]","0.0","1.95"
