"Story","Title","Result","Date","Stability","Duration (s)"
"Rate Movies Guest","Test rate a movie as a guest","SUCCESS","2020-03-10T10:19:31.313-05:00[America/Bogota]","0.0","1.79"
"Rate Movies Guest","Test delete a rating of a movie","SUCCESS","2020-03-10T10:19:33.107-05:00[America/Bogota]","0.0","1.77"
"Rate Movies Guest","Test to rate a movie with a higher rating than accepted","SUCCESS","2020-03-10T10:19:34.88-05:00[America/Bogota]","0.0","1.83"
"Rate Movies Guest","Test to rate a movie with a lower rating than accepted","SUCCESS","2020-03-10T10:19:36.712-05:00[America/Bogota]","0.0","1.96"
"Rate Movies Guest","Test to rate a movie with a rating not multiple of 0.50","SUCCESS","2020-03-10T10:19:38.669-05:00[America/Bogota]","0.0","1.74"
"Rate Movies Guest","Test to rate a movie with invalid movie id","SUCCESS","2020-03-10T10:19:40.414-05:00[America/Bogota]","0.0","1.74"
