"Story","Title","Result","Date","Stability","Duration (s)"
"Authentication","Test Authentication","SUCCESS","2020-03-10T10:17:35.888-05:00[America/Bogota]","0.0","7.86"
"Authentication","Test Delete of session","SUCCESS","2020-03-10T10:17:43.754-05:00[America/Bogota]","0.0","3.66"
"Authentication","Test Token Creation with invalid API KEY","SUCCESS","2020-03-10T10:17:47.419-05:00[America/Bogota]","0.0","1.01"
"Authentication","Test Validate Token Creation with invalid username","SUCCESS","2020-03-10T10:17:48.438-05:00[America/Bogota]","0.0","1.78"
"Authentication","Test Validate Token Creation with invalid password","SUCCESS","2020-03-10T10:17:50.219-05:00[America/Bogota]","0.0","1.82"
"Authentication","Test Validate Token Creation with empty username","SUCCESS","2020-03-10T10:17:52.049-05:00[America/Bogota]","0.0","1.84"
"Authentication","Test Validate Token Creation with empty password","SUCCESS","2020-03-10T10:17:53.886-05:00[America/Bogota]","0.0","1.97"
