"Story","Title","Result","Date","Stability","Duration (s)"
"Rate Tv Shows Guest","Test rate a tv show as a guest","SUCCESS","2020-03-10T10:20:35.825-05:00[America/Bogota]","0.0","1.76"
"Rate Tv Shows Guest","Test delete a tv show as a guest","SUCCESS","2020-03-10T10:20:37.584-05:00[America/Bogota]","0.0","1.78"
"Rate Tv Shows Guest","Test to rate a tv show as a guest with a higher rating than accepted","SUCCESS","2020-03-10T10:20:39.372-05:00[America/Bogota]","0.0","1.79"
"Rate Tv Shows Guest","Test to rate a tv show as a guest with a lower rating than accepted","SUCCESS","2020-03-10T10:20:41.159-05:00[America/Bogota]","0.0","1.78"
"Rate Tv Shows Guest","Test to rate a tv show as a guest with a rating not multiple of 0.50","SUCCESS","2020-03-10T10:20:42.944-05:00[America/Bogota]","0.0","1.93"
"Rate Tv Shows Guest","Test to rate a tv show as a guest with invalid tv show id","SUCCESS","2020-03-10T10:20:44.875-05:00[America/Bogota]","0.0","1.71"
