"Story","Title","Result","Date","Stability","Duration (s)"
"Rate TV Episose","Test Rate a tv show episode","SUCCESS","2020-03-10T10:18:49.708-05:00[America/Bogota]","0.0","4.72"
"Rate TV Episose","Test Delete a tv show episode rating","SUCCESS","2020-03-10T10:18:54.432-05:00[America/Bogota]","0.0","4.29"
"Rate TV Episose","Test to rate a tv show episode with a rating not multiple of 0.50","SUCCESS","2020-03-10T10:18:58.719-05:00[America/Bogota]","0.0","4.29"
"Rate TV Episose","Test to rate a tv show episode with a greater rating than accepted","SUCCESS","2020-03-10T10:19:03.015-05:00[America/Bogota]","0.0","4.36"
"Rate TV Episose","Test to rate a tv show episode with a lower rating than accepted","SUCCESS","2020-03-10T10:19:07.376-05:00[America/Bogota]","0.0","4.42"
"Rate TV Episose","Test Rate a tv show with invalid episode","SUCCESS","2020-03-10T10:19:11.797-05:00[America/Bogota]","0.0","4.42"
"Rate TV Episose","Test Rate a tv show with invalid API KEY","SUCCESS","2020-03-10T10:19:16.216-05:00[America/Bogota]","0.0","4.34"
