"Story","Title","Result","Date","Stability","Duration (s)"
"Reviews","Test check review details","SUCCESS","2020-03-06T15:44:01.485-05:00[America/Bogota]","0.0","0.95"
"Reviews","Test check review details with invalid review id","SUCCESS","2020-03-06T15:44:02.443-05:00[America/Bogota]","0.0","0.86"
