"Story","Title","Result","Date","Stability","Duration (s)"
"Authentication","Test Authentication","SUCCESS","2020-03-10T09:56:10.57-05:00[America/Bogota]","0.0","8.81"
"Authentication","Test Delete of session","SUCCESS","2020-03-10T09:56:19.387-05:00[America/Bogota]","0.0","4.25"
"Authentication","Test Token Creation with invalid API KEY","SUCCESS","2020-03-10T09:56:23.643-05:00[America/Bogota]","0.0","1.04"
"Authentication","Test Validate Token Creation with invalid username","SUCCESS","2020-03-10T09:56:24.69-05:00[America/Bogota]","0.0","1.74"
"Authentication","Test Validate Token Creation with invalid password","SUCCESS","2020-03-10T09:56:26.441-05:00[America/Bogota]","0.0","1.9"
"Authentication","Test Validate Token Creation with empty username","SUCCESS","2020-03-10T09:56:28.347-05:00[America/Bogota]","0.0","1.78"
"Authentication","Test Validate Token Creation with empty password","SUCCESS","2020-03-10T09:56:30.127-05:00[America/Bogota]","0.0","1.71"
