"Story","Title","Result","Date","Stability","Duration (s)"
"List","Test get list detail","SUCCESS","2020-02-27T21:23:37.641-05:00[America/Bogota]","0.0","1.57"
"List","Test create a list","SUCCESS","2020-02-27T21:23:39.211-05:00[America/Bogota]","0.0","1.64"
"List","Test delete of a list","FAILURE","2020-02-27T21:23:40.856-05:00[America/Bogota]","0.0","2.22"
"List","Test add a movie to a list","SUCCESS","2020-02-27T21:23:43.213-05:00[America/Bogota]","0.0","1.62"
"List","Test delete a movie from a list","FAILURE","2020-02-27T21:23:44.837-05:00[America/Bogota]","0.0","1.59"
"List","Test to clear a list","SUCCESS","2020-02-27T21:23:46.428-05:00[America/Bogota]","0.0","1.55"
"List","Test get check that a movie is in a list","SUCCESS","2020-02-27T21:23:47.983-05:00[America/Bogota]","0.0","1.56"
